Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,12/22/2020,35-358,LAL,,LAC,L (-7),1,28:21:00,7,17,0.412,3,8,0.375,5,7,0.714,2,3,5,5,0,0,4,2,22,13.1,2
2,2,12/25/2020,35-361,LAL,,DAL,W (+23),1,31:24:00,8,18,0.444,3,8,0.375,3,4,0.75,1,6,7,10,1,0,4,0,22,18.7,16
3,3,12/27/2020,35-363,LAL,,MIN,W (+36),1,26:12:00,6,13,0.462,1,5,0.2,5,7,0.714,0,9,9,5,1,0,4,1,18,13.3,16
4,4,12/28/2020,35-364,LAL,,POR,L (-8),1,35:55:00,11,20,0.55,3,7,0.429,4,5,0.8,2,7,9,6,2,1,3,2,29,25.6,0
5,5,12/30/2020,36-000,LAL,@,SAS,W (+14),1,35:13:00,11,23,0.478,1,3,0.333,3,5,0.6,0,5,5,8,1,1,2,1,26,19.9,-1
6,6,1/1/2021,36-002,LAL,@,SAS,W (+6),1,35:41:00,8,22,0.364,3,7,0.429,7,7,1,1,10,11,10,2,0,4,0,26,22.5,18
7,7,1/3/2021,36-004,LAL,@,MEM,W (+14),1,32:00:00,9,16,0.563,3,6,0.5,1,3,0.333,0,13,13,8,1,0,2,2,22,21.3,19
8,8,1/5/2021,36-006,LAL,@,MEM,W (+2),1,34:05:00,11,20,0.55,1,4,0.25,3,3,1,2,10,12,7,1,1,6,0,26,21.4,20
9,9,1/7/2021,36-008,LAL,,SAS,L (-9),1,34:54:00,8,15,0.533,4,7,0.571,7,11,0.636,0,6,6,12,0,0,4,3,27,23.1,-10
10,10,1/8/2021,36-009,LAL,,CHI,W (+2),1,34:09:00,11,21,0.524,0,5,0,6,8,0.75,0,7,7,7,0,0,4,1,28,19.5,9
11,11,1/10/2021,36-011,LAL,@,HOU,W (+18),1,30:21:00,7,15,0.467,1,6,0.167,3,6,0.5,1,6,7,7,1,1,2,2,18,15.4,10
12,12,1/12/2021,36-013,LAL,@,HOU,W (+17),1,29:11:00,10,20,0.5,4,9,0.444,2,4,0.5,1,7,8,5,0,1,5,0,26,17.2,15
13,13,1/13/2021,36-014,LAL,@,OKC,W (+29),1,27:29:00,9,20,0.45,5,8,0.625,3,4,0.75,0,6,6,7,0,0,2,2,26,19.1,14
14,14,1/15/2021,36-016,LAL,,NOP,W (+17),1,30:30:00,6,11,0.545,2,6,0.333,7,7,1,1,7,8,11,1,0,3,3,21,23,14
15,15,1/18/2021,36-019,LAL,,GSW,L (-2),1,37:58:00,6,16,0.375,2,7,0.286,5,8,0.625,0,5,5,5,1,0,5,1,19,9.6,-9
16,16,1/21/2021,36-022,LAL,@,MIL,W (+7),1,38:04:00,13,25,0.52,6,10,0.6,2,2,1,1,5,6,8,1,1,3,2,34,27.4,15
17,17,1/23/2021,36-024,LAL,@,CHI,W (+11),1,28:30:00,6,16,0.375,0,2,0,5,8,0.625,0,11,11,6,2,0,6,1,17,10.1,9
18,18,1/25/2021,36-026,LAL,@,CLE,W (+7),1,38:07:00,19,26,0.731,7,11,0.636,1,2,0.5,0,8,8,6,2,2,3,1,46,41.6,11
19,19,1/27/2021,36-028,LAL,@,PHI,L (-1),1,38:32:00,12,22,0.545,2,5,0.4,8,11,0.727,0,6,6,7,0,0,3,3,34,24.7,3
20,20,1/28/2021,36-029,LAL,@,DET,L (-15),1,35:45:00,8,19,0.421,4,8,0.5,2,3,0.667,2,5,7,10,1,0,2,2,22,19.6,-11
21,21,1/30/2021,36-031,LAL,@,BOS,W (+1),1,37:21:00,7,17,0.412,4,11,0.364,3,5,0.6,1,6,7,7,0,1,5,3,21,13,11
22,22,2/1/2021,36-033,LAL,@,ATL,W (+8),1,37:58:00,5,12,0.417,2,6,0.333,9,11,0.818,0,7,7,9,2,1,2,0,21,22.9,10
23,23,2/4/2021,36-036,LAL,,DEN,W (+21),1,35:27:00,12,19,0.632,2,5,0.4,1,2,0.5,0,10,10,10,0,1,2,1,27,26.4,21
24,24,2/6/2021,36-038,LAL,,DET,W (+6),1,46:29:00,13,26,0.5,3,7,0.429,4,6,0.667,0,5,5,11,4,0,7,3,33,24.2,8
25,25,2/8/2021,36-040,LAL,,OKC,W (+7),1,42:30:00,11,22,0.5,2,10,0.2,4,5,0.8,0,14,14,12,2,2,5,3,28,26.4,8
